,RMSE
"(2, 1, 5)(0, 0, 2, 12)",0.3283607303922115
"(2, 2, 5)(0, 0, 2, 12)",0.3114238587490821
"(2, 1, 7)(0, 0, 2, 12)",0.30011160259406405
"(2, 2, 7)(0, 0, 2, 12)",0.3234283108310178
"(3, 1, 1)(0, 0, 2, 12)",0.2899494531311385
"(3, 2, 1)(0, 0, 2, 12)",0.29171811860882074
"(3, 1, 2)(0, 0, 2, 12)",0.30505788094017994
"(3, 2, 2)(0, 0, 2, 12)",0.3063339845401805
"(3, 1, 3)(0, 0, 2, 12)",0.30157506367880454
"(3, 2, 3)(0, 0, 2, 12)",0.29458182533016525
"(3, 1, 4)(0, 0, 2, 12)",0.28180976077868547
"(3, 2, 4)(0, 0, 2, 12)",0.27628605611820495
"(3, 1, 5)(0, 0, 2, 12)",0.29713401913142334
"(3, 2, 5)(0, 0, 2, 12)",0.3205905064374871
"(3, 1, 7)(0, 0, 2, 12)",0.2973625759427215
"(3, 2, 7)(0, 0, 2, 12)",0.3308200346257628
"(5, 1, 1)(0, 0, 2, 12)",0.32835301676059186
"(5, 2, 1)(0, 0, 2, 12)",0.32603230734037575
"(5, 1, 2)(0, 0, 2, 12)",0.3243330211685577
"(5, 2, 2)(0, 0, 2, 12)",0.3187628811131404
"(5, 1, 3)(0, 0, 2, 12)",0.3397976668711753
"(5, 2, 3)(0, 0, 2, 12)",0.3429518401109391
"(5, 1, 4)(0, 0, 2, 12)",0.27842365767054
"(5, 2, 4)(0, 0, 2, 12)",0.28033135283168165
"(5, 1, 5)(0, 0, 2, 12)",0.2797477900430277
"(5, 2, 5)(0, 0, 2, 12)",0.26227323776094535
"(5, 1, 7)(0, 0, 2, 12)",0.29059032496700676
"(5, 2, 7)(0, 0, 2, 12)",0.2660022277010289
"(7, 1, 1)(0, 0, 2, 12)",0.32932535497557147
"(7, 2, 1)(0, 0, 2, 12)",0.3343980947455909
"(7, 1, 2)(0, 0, 2, 12)",0.3075768370578725
"(7, 2, 2)(0, 0, 2, 12)",0.33234403376644034
"(7, 1, 3)(0, 0, 2, 12)",0.3532310565739881
"(7, 2, 3)(0, 0, 2, 12)",0.32622305142501423
"(7, 1, 4)(0, 0, 2, 12)",0.31000704047833405
"(7, 2, 4)(0, 0, 2, 12)",16365809314.940039
"(7, 1, 5)(0, 0, 2, 12)",0.3117542968442764
"(7, 2, 5)(0, 0, 2, 12)",0.27293417977319234
"(7, 1, 7)(0, 0, 2, 12)",0.2681581430401026
"(7, 2, 7)(0, 0, 2, 12)",0.2701968481356613
"(1, 1, 1)(0, 1, 2, 12)",0.31137788794957194
"(1, 2, 1)(0, 1, 2, 12)",0.2280450514418417
"(1, 1, 2)(0, 1, 2, 12)",0.17911075006322486
"(1, 2, 2)(0, 1, 2, 12)",0.3258358129933471
"(1, 1, 3)(0, 1, 2, 12)",0.1643404368368226
"(1, 2, 3)(0, 1, 2, 12)",0.3208805636683514
"(1, 1, 4)(0, 1, 2, 12)",0.16783606659090902
"(1, 2, 4)(0, 1, 2, 12)",0.28922115117352054
"(1, 1, 5)(0, 1, 2, 12)",0.18281238250552914
"(1, 2, 5)(0, 1, 2, 12)",0.26910976308765117
"(1, 1, 7)(0, 1, 2, 12)",0.17460426461266437
"(1, 2, 7)(0, 1, 2, 12)",0.15145157369734305
"(2, 1, 1)(0, 1, 2, 12)",0.1976795832541856
"(2, 2, 1)(0, 1, 2, 12)",0.2866412205918729
"(2, 1, 2)(0, 1, 2, 12)",0.17403809171874068
"(2, 2, 2)(0, 1, 2, 12)",0.3250502496171664
"(2, 1, 3)(0, 1, 2, 12)",0.20442382570910986
"(2, 2, 3)(0, 1, 2, 12)",0.27366479958087414
"(2, 1, 4)(0, 1, 2, 12)",0.16474368757316382
"(2, 2, 4)(0, 1, 2, 12)",0.25490500858272747
"(2, 1, 5)(0, 1, 2, 12)",0.17032142543917014
"(2, 2, 5)(0, 1, 2, 12)",0.2980645659824368
"(2, 1, 7)(0, 1, 2, 12)",0.17029996490189825
"(2, 2, 7)(0, 1, 2, 12)",0.15792187701073246
"(3, 1, 1)(0, 1, 2, 12)",0.17881865146405815
"(3, 2, 1)(0, 1, 2, 12)",0.3232484585111565
"(3, 1, 2)(0, 1, 2, 12)",0.17254563372801085
"(3, 2, 2)(0, 1, 2, 12)",0.351582666692983
"(3, 1, 3)(0, 1, 2, 12)",0.16783743631611345
"(3, 2, 3)(0, 1, 2, 12)",0.30827398890046703
"(3, 1, 4)(0, 1, 2, 12)",0.1944471192851565
"(3, 2, 4)(0, 1, 2, 12)",0.2867547879978019
"(3, 1, 5)(0, 1, 2, 12)",0.16468791394717705
"(3, 2, 5)(0, 1, 2, 12)",0.3263721967372044
"(3, 1, 7)(0, 1, 2, 12)",0.16785471729796292
"(3, 2, 7)(0, 1, 2, 12)",0.1532914815959078
"(5, 1, 1)(0, 1, 2, 12)",0.16371274058945376
"(5, 2, 1)(0, 1, 2, 12)",0.1558793969315397
